nb calls to err function, mse, train  acc, train score, pop score var, pop score stddev, pop score mean, pop score median, pop size, nb inputs, nb hid units, nb outputs, nb hid layers, is pop diverse, mutation scheme, ensemble acc, ensemble score, val acc, val score, gens, test acc, test score, mutation scheme, nb replicates
10,0.349495,65.0505,39.4125,107.955,10.3901,3.38,0,100,9,2,2,1,1,-1,0,0,56.3636,36.0465,10,94.8905,93.9507,4294970000,1
20,0.341414,65.8586,41.8663,174.465,13.2085,6.4,0,100,9,10,2,1,1,-1,0,0,58.1818,40.4706,20,94.8905,93.9507,4294970000,1
30,0.327273,67.2727,67.2715,256.6,16.0187,9.92,0,100,9,6,2,1,1,-1,0,0,83.63639999999999,83.6147,30,94.8905,93.9507,4294970000,1
40,0.327273,67.2727,67.2715,280.465,16.7471,12.86,0,100,9,6,2,1,1,-1,0,0,83.63639999999999,83.6147,40,94.8905,93.9507,4294970000,1
50,0.327273,67.2727,67.2715,283.254,16.8302,15.72,10.5,100,9,6,2,1,1,-1,0,0,83.63639999999999,83.6147,50,94.8905,93.9507,4294970000,1
60,0.07474749999999999,92.5253,91.62860000000001,333.266,18.2556,19.63,26,100,9,6,2,1,1,-1,0,0,96.36360000000001,96.3038,60,94.8905,93.9507,4294970000,1
70,0.07474749999999999,92.5253,91.62860000000001,312.098,17.6663,23.27,26,100,9,6,2,1,1,-1,0,0,96.36360000000001,96.3038,70,94.8905,93.9507,4294970000,1
80,0.07474749999999999,92.5253,91.62860000000001,288.869,16.9961,27.4,26,100,9,6,2,1,1,-1,0,0,96.36360000000001,96.3038,80,94.8905,93.9507,4294970000,1
90,0.07474749999999999,92.5253,91.62860000000001,239.658,15.4809,30.72,26,100,9,6,2,1,1,-1,0,0,96.36360000000001,96.3038,90,94.8905,93.9507,4294970000,1
100,0.07474749999999999,92.5253,91.62860000000001,162.899,12.7632,33.49,26,100,9,6,2,1,1,-1,0,0,96.36360000000001,96.3038,100,94.8905,93.9507,4294970000,1
