nb calls to err function, mse, train  acc, train score, pop score var, pop score stddev, pop score mean, pop score median, pop size, nb inputs, nb hid units, nb outputs, nb hid layers, is pop diverse, mutation scheme, ensemble acc, ensemble score, val acc, val score, gens, test acc, test score, mutation scheme, nb replicates
10,0.270531,72.9469,42.1788,113.324,10.6454,3.36,0,100,9,2,2,1,1,-1,0,0,78.26090000000001,43.9024,10,85.71429999999999,85.41670000000001,4294970000,1
20,0.270531,72.9469,42.1788,171.901,13.1111,6.09,0,100,9,2,2,1,1,-1,0,0,78.26090000000001,43.9024,20,85.71429999999999,85.41670000000001,4294970000,1
30,0.42029,57.971,57.9081,251.524,15.8595,9.529999999999999,0,100,9,6,2,1,1,-1,0,0,43.4783,43.4783,30,85.71429999999999,85.41670000000001,4294970000,1
40,0.42029,57.971,57.9081,275.76,16.606,12.24,0,100,9,6,2,1,1,-1,0,0,43.4783,43.4783,40,85.71429999999999,85.41670000000001,4294970000,1
50,0.42029,57.971,57.9081,281.258,16.7708,14.88,9.5,100,9,6,2,1,1,-1,0,0,43.4783,43.4783,50,85.71429999999999,85.41670000000001,4294970000,1
60,0.188406,81.15940000000001,78.72669999999999,345.824,18.5963,18.79,21,100,9,6,2,1,1,-1,0,0,82.6087,79.46429999999999,60,85.71429999999999,85.41670000000001,4294970000,1
70,0.188406,81.15940000000001,78.72669999999999,335.218,18.309,22.29,21,100,9,6,2,1,1,-1,0,0,82.6087,79.46429999999999,70,85.71429999999999,85.41670000000001,4294970000,1
80,0.188406,81.15940000000001,78.72669999999999,292.194,17.0937,25.22,21,100,9,6,2,1,1,-1,0,0,82.6087,79.46429999999999,80,85.71429999999999,85.41670000000001,4294970000,1
90,0.188406,81.15940000000001,78.72669999999999,251.221,15.85,29.03,21,100,9,6,2,1,1,-1,0,0,82.6087,79.46429999999999,90,85.71429999999999,85.41670000000001,4294970000,1
100,0.188406,81.15940000000001,78.72669999999999,168.889,12.9957,32.14,27.5,100,9,6,2,1,1,-1,0,0,82.6087,79.46429999999999,100,85.71429999999999,85.41670000000001,4294970000,1
