nb calls to err function, mse, train  acc, train score, pop score var, pop score stddev, pop score mean, pop score median, pop size, nb inputs, nb hid units, nb outputs, nb hid layers, is pop diverse, mutation scheme, ensemble acc, ensemble score, val acc, val score, gens, test acc, test score, mutation scheme, nb replicates
10,2.45299,34.188,30.6513,33.1793,5.76015,1.85,0,100,4,10,3,1,1,-1,0,0,53.8462,33.3333,10,80,58.3333,4294970000,1
20,0.34188,65.812,55.914,77.98990000000001,8.831189999999999,3.9,0,100,4,8,3,1,1,-1,0,0,46.1538,45.4545,20,80,58.3333,4294970000,1
30,0.34188,65.812,55.914,107.759,10.3807,5.91,0,100,4,8,3,1,1,-1,0,0,46.1538,45.4545,30,80,58.3333,4294970000,1
40,0.34188,65.812,55.914,113.037,10.6319,7.56,0,100,4,8,3,1,1,-1,0,0,46.1538,45.4545,40,80,58.3333,4294970000,1
50,0.34188,65.812,55.914,116.375,10.7877,9.220000000000001,0,100,4,8,3,1,1,-1,0,0,46.1538,45.4545,50,80,58.3333,4294970000,1
60,0.34188,65.812,55.914,110.425,10.5083,10.86,15,100,4,8,3,1,1,-1,0,0,46.1538,45.4545,60,80,58.3333,4294970000,1
70,0.34188,65.812,55.914,122.329,11.0602,13.12,15,100,4,8,3,1,1,-1,0,0,46.1538,45.4545,70,80,58.3333,4294970000,1
80,0.34188,65.812,55.914,124.048,11.1377,14.82,17,100,4,8,3,1,1,-1,0,0,46.1538,45.4545,80,80,58.3333,4294970000,1
90,0.34188,65.812,55.914,102.317,10.1152,16.69,17,100,4,8,3,1,1,-1,0,0,46.1538,45.4545,90,80,58.3333,4294970000,1
100,0.34188,65.812,55.914,88.8464,9.425829999999999,18.39,17,100,4,8,3,1,1,-1,0,0,46.1538,45.4545,100,80,58.3333,4294970000,1
