nb calls to err function, mse, train  acc, train score, pop score var, pop score stddev, pop score mean, pop score median, pop size, nb inputs, nb hid units, nb outputs, nb hid layers, is pop diverse, mutation scheme, ensemble acc, ensemble score, val acc, val score, gens, test acc, test score, mutation scheme, nb replicates
10,0.577778,42.2222,21.038,26.5701,5.15462,1.66,0,100,13,5,3,1,1,-1,0,0,33.3333,16.6667,10,58.3333,46.8235,4294970000,1
20,0.474074,52.5926,40.2116,65.09690000000001,8.06826,3.79,0,100,13,2,3,1,1,-1,0,0,40,34.4988,20,58.3333,46.8235,4294970000,1
30,0.474074,52.5926,40.2116,85.6469,9.25456,5.64,0,100,13,2,3,1,1,-1,0,0,40,34.4988,30,58.3333,46.8235,4294970000,1
40,0.562963,54.8148,46.0796,117.957,10.8608,7.89,0,100,13,9,3,1,1,-1,0,0,66.66670000000001,52.8139,40,58.3333,46.8235,4294970000,1
50,0.562963,54.8148,46.0796,127.132,11.2753,9.859999999999999,3,100,13,9,3,1,1,-1,0,0,66.66670000000001,52.8139,50,58.3333,46.8235,4294970000,1
60,0.562963,54.8148,46.0796,137.861,11.7414,12.09,13,100,13,9,3,1,1,-1,0,0,66.66670000000001,52.8139,60,58.3333,46.8235,4294970000,1
70,0.562963,54.8148,46.0796,124.414,11.1541,13.49,17,100,13,9,3,1,1,-1,0,0,66.66670000000001,52.8139,70,58.3333,46.8235,4294970000,1
80,0.562963,54.8148,46.0796,112.219,10.5934,14.73,17,100,13,9,3,1,1,-1,0,0,66.66670000000001,52.8139,80,58.3333,46.8235,4294970000,1
90,0.562963,54.8148,46.0796,94.0819,9.699579999999999,16.67,17,100,13,9,3,1,1,-1,0,0,66.66670000000001,52.8139,90,58.3333,46.8235,4294970000,1
100,0.562963,54.8148,46.0796,65.8258,8.11331,18.45,17.5,100,13,9,3,1,1,-1,0,0,66.66670000000001,52.8139,100,58.3333,46.8235,4294970000,1
