nb calls to err function, mse, train  acc, train score, pop score var, pop score stddev, pop score mean, pop score median, pop size, nb inputs, nb hid units, nb outputs, nb hid layers, is pop diverse, mutation scheme, ensemble acc, ensemble score, val acc, val score, gens, test acc, test score, mutation scheme, nb replicates
10,0.335354,66.4646,39.9272,109.816,10.4793,3.39,0,100,9,2,2,1,1,-1,0,0,69.0909,40.8602,10,91.9708,91.50749999999999,1,1
20,0.329293,67.0707,41.8482,174.899,13.225,6.36,0,100,9,10,2,1,1,-1,0,0,69.0909,40.8602,20,91.9708,91.50749999999999,1,1
30,0.335354,66.4646,66.4645,257.286,16.0401,9.869999999999999,0,100,9,6,2,1,1,-1,0,0,65.4545,65.2709,30,91.9708,91.50749999999999,1,1
40,0.335354,66.4646,66.4645,281.371,16.7741,12.77,0,100,9,6,2,1,1,-1,0,0,65.4545,65.2709,40,91.9708,91.50749999999999,1,1
50,0.335354,66.4646,66.4645,284.046,16.8537,15.57,10,100,9,6,2,1,1,-1,0,0,65.4545,65.2709,50,91.9708,91.50749999999999,1,1
60,0.0666667,93.33329999999999,92.4419,336.778,18.3515,19.49,25,100,9,6,2,1,1,-1,0,0,90.9091,89.17749999999999,60,91.9708,91.50749999999999,1,1
70,0.0666667,93.33329999999999,92.4419,319.186,17.8658,23.19,25,100,9,6,2,1,1,-1,0,0,90.9091,89.17749999999999,70,91.9708,91.50749999999999,1,1
80,0.0666667,93.33329999999999,92.4419,302.386,17.3892,27.41,25,100,9,6,2,1,1,-1,0,0,90.9091,89.17749999999999,80,91.9708,91.50749999999999,1,1
90,0.0666667,93.33329999999999,92.4419,255.044,15.9701,30.69,25,100,9,6,2,1,1,-1,0,0,90.9091,89.17749999999999,90,91.9708,91.50749999999999,1,1
100,0.0666667,93.33329999999999,92.4419,181.086,13.4568,33.38,25,100,9,6,2,1,1,-1,0,0,90.9091,89.17749999999999,100,91.9708,91.50749999999999,1,1
