nb calls to err function, mse, train  acc, train score, pop score var, pop score stddev, pop score mean, pop score median, pop size, nb inputs, nb hid units, nb outputs, nb hid layers, is pop diverse, mutation scheme, ensemble acc, ensemble score, val acc, val score, gens, test acc, test score, mutation scheme, nb replicates
10,0.309179,69.0821,40.8571,113.337,10.646,3.42,0,100,9,6,2,1,1,-1,0,0,78.26090000000001,43.9024,10,76.78570000000001,74.9914,1,1
20,0.309179,69.0821,40.8571,176.345,13.2795,6.33,0,100,9,2,2,1,1,-1,0,0,78.26090000000001,43.9024,20,76.78570000000001,74.9914,1,1
30,0.36715,63.285,63.2773,261.064,16.1575,9.92,0,100,9,6,2,1,1,-1,0,0,65.2174,63.4921,30,76.78570000000001,74.9914,1,1
40,0.36715,63.285,63.2773,285.644,16.901,12.82,0,100,9,6,2,1,1,-1,0,0,65.2174,63.4921,40,76.78570000000001,74.9914,1,1
50,0.36715,63.285,63.2773,289.286,17.0084,15.63,11.5,100,9,6,2,1,1,-1,0,0,65.2174,63.4921,50,76.78570000000001,74.9914,1,1
60,0.178744,82.12560000000001,80.48609999999999,348.893,18.6787,19.66,24,100,9,6,2,1,1,-1,0,0,95.65219999999999,94.026,60,76.78570000000001,74.9914,1,1
70,0.178744,82.12560000000001,80.48609999999999,327.594,18.0996,23.11,24,100,9,6,2,1,1,-1,0,0,95.65219999999999,94.026,70,76.78570000000001,74.9914,1,1
80,0.178744,82.12560000000001,80.48609999999999,277.67,16.6634,26.13,24,100,9,6,2,1,1,-1,0,0,95.65219999999999,94.026,80,76.78570000000001,74.9914,1,1
90,0.178744,82.12560000000001,80.48609999999999,227.524,15.0839,29.97,24,100,9,6,2,1,1,-1,0,0,95.65219999999999,94.026,90,76.78570000000001,74.9914,1,1
100,0.178744,82.12560000000001,80.48609999999999,135.254,11.6299,33.17,27.5,100,9,6,2,1,1,-1,0,0,95.65219999999999,94.026,100,76.78570000000001,74.9914,1,1
