nb calls to err function, mse, train  acc, train score, pop score var, pop score stddev, pop score mean, pop score median, pop size, nb inputs, nb hid units, nb outputs, nb hid layers, is pop diverse, mutation scheme, ensemble acc, ensemble score, val acc, val score, gens, test acc, test score, mutation scheme, nb replicates
10,2.74359,28.2051,30.9859,35.9445,5.99538,1.93,0,100,4,10,3,1,1,-1,0,0,30.7692,33.3333,10,50,50.5376,1,1
20,2.74359,28.2051,30.9859,56.0509,7.48672,3.64,0,100,4,10,3,1,1,-1,0,0,30.7692,33.3333,20,50,50.5376,1,1
30,0.470085,52.9915,45.4119,84.1999,9.17605,5.61,0,100,4,9,3,1,1,-1,0,0,46.1538,51.1111,30,50,50.5376,1,1
40,0.282051,71.7949,57.265,117.899,10.8581,7.8,0,100,4,8,3,1,1,-1,0,0,69.2308,50,40,50,50.5376,1,1
50,0.282051,71.7949,57.265,117.485,10.839,9.49,7.5,100,4,8,3,1,1,-1,0,0,69.2308,50,50,50,50.5376,1,1
60,0.282051,71.7949,57.265,129.803,11.3931,11.07,15,100,4,8,3,1,1,-1,0,0,69.2308,50,60,50,50.5376,1,1
70,0.282051,71.7949,57.265,123.646,11.1196,12.1,15,100,4,8,3,1,1,-1,0,0,69.2308,50,70,50,50.5376,1,1
80,0.282051,71.7949,57.265,116.479,10.7925,13.19,15,100,4,8,3,1,1,-1,0,0,69.2308,50,80,50,50.5376,1,1
90,0.282051,71.7949,57.265,108.264,10.405,15.17,18,100,4,8,3,1,1,-1,0,0,69.2308,50,90,50,50.5376,1,1
100,0.282051,71.7949,57.265,100.761,10.038,16.92,18,100,4,8,3,1,1,-1,0,0,69.2308,50,100,50,50.5376,1,1
