nb calls to err function, mse, train  acc, train score, pop score var, pop score stddev, pop score mean, pop score median, pop size, nb inputs, nb hid units, nb outputs, nb hid layers, is pop diverse, mutation scheme, ensemble acc, ensemble score, val acc, val score, gens, test acc, test score, mutation scheme, nb replicates
10,1.51111,28.8889,20.853,26.3712,5.13529,1.65,0,100,13,7,3,1,1,-1,0,0,20,12.5,10,52.7778,45.2907,1,1
20,0.5333329999999999,46.6667,36.6667,62.4213,7.90072,3.73,0,100,13,2,3,1,1,-1,0,0,60,39.2593,20,52.7778,45.2907,1,1
30,0.5333329999999999,46.6667,36.6667,81.2908,9.01614,5.61,0,100,13,2,3,1,1,-1,0,0,60,39.2593,30,52.7778,45.2907,1,1
40,0.6,53.3333,45.2389,118.281,10.8757,7.96,0,100,13,9,3,1,1,-1,0,0,60,48.1481,40,52.7778,45.2907,1,1
50,0.6,53.3333,45.2389,121.113,11.0051,9.720000000000001,3,100,13,9,3,1,1,-1,0,0,60,48.1481,50,52.7778,45.2907,1,1
60,0.437037,56.2963,46.0851,136.522,11.6842,12.06,14,100,13,4,3,1,1,-1,0,0,46.6667,42.2222,60,52.7778,45.2907,1,1
70,0.437037,56.2963,46.0851,130.639,11.4297,13.74,15.5,100,13,4,3,1,1,-1,0,0,46.6667,42.2222,70,52.7778,45.2907,1,1
80,0.437037,56.2963,46.0851,113.677,10.6619,15.4,16,100,13,4,3,1,1,-1,0,0,46.6667,42.2222,80,52.7778,45.2907,1,1
90,0.437037,56.2963,46.0851,96.02670000000001,9.79932,16.56,16,100,13,4,3,1,1,-1,0,0,46.6667,42.2222,90,52.7778,45.2907,1,1
100,0.437037,56.2963,46.0851,74.30549999999999,8.62006,18.24,16.5,100,13,4,3,1,1,-1,0,0,46.6667,42.2222,100,52.7778,45.2907,1,1
