nb calls to err function, mse, train  acc, train score, pop score var, pop score stddev, pop score mean, pop score median, pop size, nb inputs, nb hid units, nb outputs, nb hid layers, is pop diverse, mutation scheme, ensemble acc, ensemble score, val acc, val score, gens, test acc, test score, mutation scheme, nb replicates
10,0.341414,65.8586,39.7077,109.816,10.4793,3.39,0,100,9,2,2,1,1,-1,0,0,67.2727,40.2174,10,96.35039999999999,96.13979999999999,4294970000,1
20,0.333333,66.66670000000001,42.2142,174.899,13.225,6.36,0,100,9,10,2,1,1,-1,0,0,69.0909,45.9225,20,96.35039999999999,96.13979999999999,4294970000,1
30,0.331313,66.8687,66.86750000000001,257.852,16.0578,9.869999999999999,0,100,9,6,2,1,1,-1,0,0,65.4545,65.4088,30,96.35039999999999,96.13979999999999,4294970000,1
40,0.331313,66.8687,66.86750000000001,281.936,16.791,12.77,0,100,9,6,2,1,1,-1,0,0,65.4545,65.4088,40,96.35039999999999,96.13979999999999,4294970000,1
50,0.331313,66.8687,66.86750000000001,284.611,16.8704,15.57,10,100,9,6,2,1,1,-1,0,0,65.4545,65.4088,50,96.35039999999999,96.13979999999999,4294970000,1
60,0.07878789999999999,92.1212,91.0955,335.888,18.3273,19.48,25,100,9,6,2,1,1,-1,0,0,92.7273,91.48609999999999,60,96.35039999999999,96.13979999999999,4294970000,1
70,0.07878789999999999,92.1212,91.0955,318.371,17.843,23.18,25,100,9,6,2,1,1,-1,0,0,92.7273,91.48609999999999,70,96.35039999999999,96.13979999999999,4294970000,1
80,0.07878789999999999,92.1212,91.0955,301.657,17.3683,27.4,25,100,9,6,2,1,1,-1,0,0,92.7273,91.48609999999999,80,96.35039999999999,96.13979999999999,4294970000,1
90,0.07878789999999999,92.1212,91.0955,254.277,15.9461,30.69,25,100,9,6,2,1,1,-1,0,0,92.7273,91.48609999999999,90,96.35039999999999,96.13979999999999,4294970000,1
100,0.07878789999999999,92.1212,91.0955,179.455,13.3961,33.4,25,100,9,6,2,1,1,-1,0,0,92.7273,91.48609999999999,100,96.35039999999999,96.13979999999999,4294970000,1
