nb calls to err function, mse, train  acc, train score, pop score var, pop score stddev, pop score mean, pop score median, pop size, nb inputs, nb hid units, nb outputs, nb hid layers, is pop diverse, mutation scheme, ensemble acc, ensemble score, val acc, val score, gens, test acc, test score, mutation scheme, nb replicates
10,2.35897,35.8974,30.4348,32.2233,5.67656,1.83,0,100,4,10,3,1,1,-1,0,0,23.0769,33.3333,10,56.6667,50.7274,4294970000,1
20,0.358974,64.1026,54.8023,76.8182,8.7646,3.9,0,100,4,8,3,1,1,-1,0,0,76.92310000000001,46.6667,20,56.6667,50.7274,4294970000,1
30,0.358974,64.1026,54.8023,107.702,10.378,5.93,0,100,4,8,3,1,1,-1,0,0,76.92310000000001,46.6667,30,56.6667,50.7274,4294970000,1
40,0.358974,64.1026,54.8023,115.274,10.7366,7.67,0,100,4,8,3,1,1,-1,0,0,76.92310000000001,46.6667,40,56.6667,50.7274,4294970000,1
50,0.358974,64.1026,54.8023,115.549,10.7494,9.369999999999999,8,100,4,8,3,1,1,-1,0,0,76.92310000000001,46.6667,50,56.6667,50.7274,4294970000,1
60,0.358974,64.1026,54.8023,109.101,10.4451,11.01,16,100,4,8,3,1,1,-1,0,0,76.92310000000001,46.6667,60,56.6667,50.7274,4294970000,1
70,0.333333,66.66670000000001,55.4784,138.227,11.757,13.66,16,100,4,10,3,1,1,-1,0,0,92.3077,61.9048,70,56.6667,50.7274,4294970000,1
80,0.333333,66.66670000000001,55.4784,117.937,10.8599,15.39,16,100,4,10,3,1,1,-1,0,0,92.3077,61.9048,80,56.6667,50.7274,4294970000,1
90,0.333333,66.66670000000001,55.4784,106.913,10.3399,17.58,16,100,4,10,3,1,1,-1,0,0,92.3077,61.9048,90,56.6667,50.7274,4294970000,1
100,0.333333,66.66670000000001,55.4784,88.5176,9.408379999999999,19.26,16,100,4,10,3,1,1,-1,0,0,92.3077,61.9048,100,56.6667,50.7274,4294970000,1
