nb calls to err function, mse, train  acc, train score, pop score var, pop score stddev, pop score mean, pop score median, pop size, nb inputs, nb hid units, nb outputs, nb hid layers, is pop diverse, mutation scheme, ensemble acc, ensemble score, val acc, val score, gens, test acc, test score, mutation scheme, nb replicates
10,0.607407,39.2593,20.0873,24.7071,4.97062,1.6,0,100,13,5,3,1,1,-1,0,0,46.6667,21.2121,10,55.5556,44.4444,4294970000,1
20,0.451852,54.8148,43.2349,64.31310000000001,8.019550000000001,3.7,0,100,13,2,3,1,1,-1,0,0,33.3333,19.6078,20,55.5556,44.4444,4294970000,1
30,0.451852,54.8148,43.2349,82.3095,9.07246,5.56,0,100,13,2,3,1,1,-1,0,0,33.3333,19.6078,30,55.5556,44.4444,4294970000,1
40,0.474074,59.2593,48.9057,119.258,10.9205,7.88,0,100,13,9,3,1,1,-1,0,0,53.3333,47.2222,40,55.5556,44.4444,4294970000,1
50,0.474074,59.2593,48.9057,132.949,11.5304,9.98,3,100,13,9,3,1,1,-1,0,0,53.3333,47.2222,50,55.5556,44.4444,4294970000,1
60,0.474074,59.2593,48.9057,138.934,11.787,12.07,15,100,13,9,3,1,1,-1,0,0,53.3333,47.2222,60,55.5556,44.4444,4294970000,1
70,0.474074,59.2593,48.9057,125.912,11.2211,13.37,16,100,13,9,3,1,1,-1,0,0,53.3333,47.2222,70,55.5556,44.4444,4294970000,1
80,0.474074,59.2593,48.9057,109.938,10.4851,14.96,17,100,13,9,3,1,1,-1,0,0,53.3333,47.2222,80,55.5556,44.4444,4294970000,1
90,0.474074,59.2593,48.9057,99.46210000000001,9.97307,17.15,17,100,13,9,3,1,1,-1,0,0,53.3333,47.2222,90,55.5556,44.4444,4294970000,1
100,0.474074,59.2593,48.9057,73.8201,8.59186,18.91,17,100,13,9,3,1,1,-1,0,0,53.3333,47.2222,100,55.5556,44.4444,4294970000,1
