nb calls to err function, mse, train  acc, train score, pop score var, pop score stddev, pop score mean, pop score median, pop size, nb inputs, nb hid units, nb outputs, nb hid layers, is pop diverse, mutation scheme, ensemble acc, ensemble score, val acc, val score, gens, test acc, test score, mutation scheme, nb replicates
10,0.294141,70.5859,56.5951,120.362,10.944,3.393,0,100,9,6.4,2,1,1,-1,0,0,67.8182,57.6732,10,92.6277,91.3312,4294970000,10
20,0.180202,81.9798,76.2486,239.395,15.3461,6.914,0,100,9,7.3,2,1,1,-1,0,0,82.9091,79.27549999999999,20,92.6277,91.3312,4294970000,10
30,0.180808,81.9192,76.2794,303.645,17.3377,10.218,0,100,9,7.4,2,1,1,-1,0,0,82.7273,79.2003,30,92.6277,91.3312,4294970000,10
40,0.152121,84.78789999999999,81.6263,359.558,18.8831,13.627,0,100,9,7.6,2,1,1,-1,0,0,86,83.80289999999999,40,92.6277,91.3312,4294970000,10
50,0.130909,86.9091,85.9987,406.108,20.1102,17.22,5.15,100,9,8.6,2,1,1,-1,0,0,88.9091,88.4952,50,92.6277,91.3312,4294970000,10
60,0.129899,87.01009999999999,86.0364,405.652,20.0922,20.357,26,100,9,8.4,2,1,1,-1,0,0,88.36360000000001,87.8676,60,92.6277,91.3312,4294970000,10
70,0.0866667,91.33329999999999,90.3643,401.905,20.0121,23.943,26,100,9,8.1,2,1,1,-1,0,0,91.4545,91.0427,70,92.6277,91.3312,4294970000,10
80,0.08080809999999999,91.9192,90.93389999999999,375.157,19.3034,27.554,26,100,9,7.9,2,1,1,-1,0,0,91.63639999999999,91.1812,80,92.6277,91.3312,4294970000,10
90,0.079596,92.04040000000001,91.0735,322.307,17.8491,31.172,26,100,9,7.7,2,1,1,-1,0,0,91.63639999999999,91.19799999999999,90,92.6277,91.3312,4294970000,10
100,0.0793939,92.06059999999999,91.09229999999999,236.023,15.2223,34.63,30.35,100,9,7.5,2,1,1,-1,0,0,92,91.5959,100,92.6277,91.3312,4294970000,10
