nb calls to err function, mse, train  acc, train score, pop score var, pop score stddev, pop score mean, pop score median, pop size, nb inputs, nb hid units, nb outputs, nb hid layers, is pop diverse, mutation scheme, ensemble acc, ensemble score, val acc, val score, gens, test acc, test score, mutation scheme, nb replicates
10,0.316908,68.3092,48.859,108.047,10.3714,3.28,0,100,9,5.8,2,1,1,-1,0,0,82.1739,52.6158,10,77.6786,73.5825,4294970000,10
20,0.240097,75.9903,65.92359999999999,218.455,14.7385,6.801,0,100,9,6.9,2,1,1,-1,0,0,81.3043,60.5786,20,77.6786,73.5825,4294970000,10
30,0.234783,76.5217,67.2456,292.174,17.0428,10.228,0,100,9,6.4,2,1,1,-1,0,0,80.4348,62.7333,30,77.6786,73.5825,4294970000,10
40,0.199517,80.0483,75.3702,347.012,18.5887,13.719,0,100,9,7,2,1,1,-1,0,0,77.8261,65.899,40,77.6786,73.5825,4294970000,10
50,0.215459,78.4541,76.3689,381.847,19.5037,17.322,9.85,100,9,7.2,2,1,1,-1,0,0,71.73909999999999,63.8566,50,77.6786,73.5825,4294970000,10
60,0.192754,80.7246,77.51949999999999,392.031,19.757,20.982,25,100,9,7.1,2,1,1,-1,0,0,77.8261,68.7204,60,77.6786,73.5825,4294970000,10
70,0.192754,80.7246,77.51949999999999,367.695,19.1325,24.467,25,100,9,7.1,2,1,1,-1,0,0,77.8261,68.7204,70,77.6786,73.5825,4294970000,10
80,0.192754,80.7246,77.51949999999999,322.25,17.8997,27.996,26.15,100,9,7.1,2,1,1,-1,0,0,77.8261,68.7204,80,77.6786,73.5825,4294970000,10
90,0.192754,80.7246,77.51949999999999,242.203,15.4919,31.256,29.35,100,9,7.1,2,1,1,-1,0,0,77.8261,68.7204,90,77.6786,73.5825,4294970000,10
100,0.185024,81.49760000000001,79.3548,145.524,11.9509,34.507,34.6,100,9,7,2,1,1,-1,0,0,76.95650000000001,68.26090000000001,100,77.6786,73.5825,4294970000,10
