nb calls to err function, mse, train  acc, train score, pop score var, pop score stddev, pop score mean, pop score median, pop size, nb inputs, nb hid units, nb outputs, nb hid layers, is pop diverse, mutation scheme, ensemble acc, ensemble score, val acc, val score, gens, test acc, test score, mutation scheme, nb replicates
10,1.01966,41.6239,29.4215,39.6517,5.8593,1.762,0,100,4,6.4,3,1,1,-1,0,0,45.3846,29.0553,10,66.66670000000001,57.5117,4294970000,10
20,0.484615,56.6667,45.9365,74.37050000000001,8.411110000000001,3.63,0,100,4,7.9,3,1,1,-1,0,0,60.7692,46.5628,20,66.66670000000001,57.5117,4294970000,10
30,0.511111,60.9402,50.6146,102.817,9.947760000000001,5.508,0,100,4,6.8,3,1,1,-1,0,0,63.0769,49.0321,30,66.66670000000001,57.5117,4294970000,10
40,0.445299,64.188,54.37,122.738,10.9373,7.304,0,100,4,6.7,3,1,1,-1,0,0,64.61539999999999,51.5507,40,66.66670000000001,57.5117,4294970000,10
50,0.34359,67.1795,57.7305,133.786,11.4579,9.058999999999999,0.5,100,4,7.4,3,1,1,-1,0,0,72.3077,56.5877,50,66.66670000000001,57.5117,4294970000,10
60,0.34359,67.1795,57.7305,137.968,11.6439,10.752,16,100,4,7.4,3,1,1,-1,0,0,72.3077,56.5877,60,66.66670000000001,57.5117,4294970000,10
70,0.341026,67.4359,57.7595,141.477,11.7773,12.55,16,100,4,7.6,3,1,1,-1,0,0,73.8462,57.5877,70,66.66670000000001,57.5117,4294970000,10
80,0.341026,67.4359,57.7595,134.177,11.4554,14.019,16,100,4,7.6,3,1,1,-1,0,0,73.8462,57.5877,80,66.66670000000001,57.5117,4294970000,10
90,0.341026,67.4359,57.7595,120.752,10.8392,15.672,16,100,4,7.6,3,1,1,-1,0,0,73.8462,57.5877,90,66.66670000000001,57.5117,4294970000,10
100,0.318803,68.11969999999999,58.1761,106.093,10.15,17.274,16,100,4,7.7,3,1,1,-1,0,0,71.5385,56.7729,100,66.66670000000001,57.5117,4294970000,10
