nb calls to err function, mse, train  acc, train score, pop score var, pop score stddev, pop score mean, pop score median, pop size, nb inputs, nb hid units, nb outputs, nb hid layers, is pop diverse, mutation scheme, ensemble acc, ensemble score, val acc, val score, gens, test acc, test score, mutation scheme, nb replicates
10,0.62,46.2222,34.7228,39.9102,6.22538,1.922,0,100,13,4.9,3,1,1,-1,0,0,42.6667,33.6901,10,53.0556,47.3085,4294970000,10
20,0.582222,52.6667,43.2266,73.2162,8.49921,3.84,0,100,13,4.8,3,1,1,-1,0,0,53.3333,43.7387,20,53.0556,47.3085,4294970000,10
30,0.467407,57.037,47.6526,98.923,9.906090000000001,5.773,0,100,13,5.1,3,1,1,-1,0,0,58.6667,47.7306,30,53.0556,47.3085,4294970000,10
40,0.466667,58.2222,48.594,119.199,10.8657,7.728,0,100,13,5.4,3,1,1,-1,0,0,62,49.3481,40,53.0556,47.3085,4294970000,10
50,0.466667,58.2222,48.594,122.237,11.0071,9.435,3.85,100,13,5.4,3,1,1,-1,0,0,62,49.3481,50,53.0556,47.3085,4294970000,10
60,0.466667,58.2222,48.594,119.551,10.888,11.086,14,100,13,5.4,3,1,1,-1,0,0,62,49.3481,60,53.0556,47.3085,4294970000,10
70,0.465185,59.4815,51.213,116.942,10.7612,12.899,15.7,100,13,5.9,3,1,1,-1,0,0,62.6667,50.6265,70,53.0556,47.3085,4294970000,10
80,0.446667,60.4444,52.2085,104.293,10.1511,14.646,17.2,100,13,6.7,3,1,1,-1,0,0,62,50.211,80,53.0556,47.3085,4294970000,10
90,0.428148,61.8519,52.9534,86.759,9.26825,16.417,17.8,100,13,6.9,3,1,1,-1,0,0,64.66670000000001,52.1865,90,53.0556,47.3085,4294970000,10
100,0.41037,62.2963,52.9881,64.7846,7.9603,18.303,18,100,13,7.1,3,1,1,-1,0,0,65.33329999999999,53.1115,100,53.0556,47.3085,4294970000,10
