nb calls to err function, mse, train  acc, train score, pop score var, pop score stddev, pop score mean, pop score median, pop size, nb inputs, nb hid units, nb outputs, nb hid layers, is pop diverse, mutation scheme, ensemble acc, ensemble score, val acc, val score, gens, test acc, test score, mutation scheme, nb replicates
10,0.294949,70.5051,53.6218,114.146,10.6543,3.309,0,100,9,7.1,2,1,1,-1,0,0,70,50.8274,10,89.708,89.1337,1,10
20,0.185253,81.4747,70.5004,237.684,15.2757,6.852,0,100,9,7.7,2,1,1,-1,0,0,80.5455,67.34569999999999,20,89.708,89.1337,1,10
30,0.184242,81.5758,73.33450000000001,318.988,17.7117,10.311,0,100,9,7,2,1,1,-1,0,0,80.1818,69.7786,30,89.708,89.1337,1,10
40,0.141818,85.8182,82.1344,386.735,19.5753,13.869,0,100,9,7.8,2,1,1,-1,0,0,84.36360000000001,79.1818,40,89.708,89.1337,1,10
50,0.152525,84.7475,83.49769999999999,410.401,20.1817,17.107,4.4,100,9,8.300000000000001,2,1,1,-1,0,0,82.7273,80.3291,50,89.708,89.1337,1,10
60,0.150707,84.9293,83.6283,407.26,20.1177,20.15,25,100,9,8.1,2,1,1,-1,0,0,82.5455,79.8865,60,89.708,89.1337,1,10
70,0.0866667,91.33329999999999,89.8687,416.863,20.3634,23.882,25,100,9,7.5,2,1,1,-1,0,0,88.5455,85.1405,70,89.708,89.1337,1,10
80,0.070101,92.98990000000001,91.96420000000001,385.667,19.5956,27.362,25,100,9,7.1,2,1,1,-1,0,0,90,87.3751,80,89.708,89.1337,1,10
90,0.070101,92.98990000000001,91.96420000000001,330.107,18.1034,30.917,25.85,100,9,7.1,2,1,1,-1,0,0,90,87.3751,90,89.708,89.1337,1,10
100,0.069899,93.01009999999999,91.99469999999999,246.767,15.6122,34.494,31.35,100,9,7.1,2,1,1,-1,0,0,90.5455,88.10080000000001,100,89.708,89.1337,1,10
