nb calls to err function, mse, train  acc, train score, pop score var, pop score stddev, pop score mean, pop score median, pop size, nb inputs, nb hid units, nb outputs, nb hid layers, is pop diverse, mutation scheme, ensemble acc, ensemble score, val acc, val score, gens, test acc, test score, mutation scheme, nb replicates
10,0.300966,69.9034,52.2113,124.92,11.1099,3.473,0,100,9,5.5,2,1,1,-1,0,0,81.3043,52.8431,10,84.8214,83.8862,1,10
20,0.254106,74.5894,61.294,226.254,14.9806,6.911,0,100,9,6.2,2,1,1,-1,0,0,86.5217,63.6916,20,84.8214,83.8862,1,10
30,0.256039,74.3961,63.9961,290.776,17.0026,10.172,0,100,9,6.7,2,1,1,-1,0,0,85.65219999999999,66.0534,30,84.8214,83.8862,1,10
40,0.235749,76.4251,68.607,356.659,18.8386,13.853,0,100,9,7.1,2,1,1,-1,0,0,86.087,66.34059999999999,40,84.8214,83.8862,1,10
50,0.260386,73.9614,69.3942,379.994,19.4604,17.204,10.35,100,9,7.3,2,1,1,-1,0,0,80.4348,64.3858,50,84.8214,83.8862,1,10
60,0.256522,74.34780000000001,70.7109,374.62,19.3235,20.279,22,100,9,6.9,2,1,1,-1,0,0,80.86960000000001,66.9966,60,84.8214,83.8862,1,10
70,0.250242,74.97580000000001,71.40170000000001,360.475,18.9622,23.762,22,100,9,6.8,2,1,1,-1,0,0,81.3043,66.373,70,84.8214,83.8862,1,10
80,0.217874,78.21259999999999,74.7,319.272,17.8437,27.071,22.6,100,9,7.3,2,1,1,-1,0,0,86.087,70.8762,80,84.8214,83.8862,1,10
90,0.213527,78.6473,75.617,263.102,16.186,30.467,24.45,100,9,7.6,2,1,1,-1,0,0,86.087,72.55289999999999,90,84.8214,83.8862,1,10
100,0.213527,78.6473,75.617,176.341,13.2259,33.621,31.2,100,9,7.6,2,1,1,-1,0,0,86.087,72.55289999999999,100,84.8214,83.8862,1,10
