nb calls to err function, mse, train  acc, train score, pop score var, pop score stddev, pop score mean, pop score median, pop size, nb inputs, nb hid units, nb outputs, nb hid layers, is pop diverse, mutation scheme, ensemble acc, ensemble score, val acc, val score, gens, test acc, test score, mutation scheme, nb replicates
10,0.91453,50.8547,38.8318,48.3581,6.55359,1.89,0,100,4,7.9,3,1,1,-1,0,0,32.3077,32.3294,10,74.66670000000001,60.2202,1,10
20,0.616239,60.6838,49.4088,81.3751,8.80897,3.751,0,100,4,7.5,3,1,1,-1,0,0,43.8462,44.0423,20,74.66670000000001,60.2202,1,10
30,0.51453,62.6496,51.6073,100.978,9.82676,5.466,0,100,4,6.9,3,1,1,-1,0,0,46.9231,45.0619,30,74.66670000000001,60.2202,1,10
40,0.312821,70.2564,58.6501,124.684,11.0004,7.405,0,100,4,7.8,3,1,1,-1,0,0,46.1538,48.3228,40,74.66670000000001,60.2202,1,10
50,0.312821,70.2564,58.6501,130.12,11.259,9.007999999999999,1.1,100,4,7.8,3,1,1,-1,0,0,46.1538,48.3228,50,74.66670000000001,60.2202,1,10
60,0.304274,70.85469999999999,58.9552,139.787,11.6305,10.774,15.8,100,4,7.2,3,1,1,-1,0,0,41.5385,46.1534,60,74.66670000000001,60.2202,1,10
70,0.291453,70.85469999999999,59.1454,136.711,11.5198,12.164,16.15,100,4,6.7,3,1,1,-1,0,0,46.1538,47.7012,70,74.66670000000001,60.2202,1,10
80,0.291453,70.85469999999999,59.1454,129.195,11.1918,13.581,16.7,100,4,6.7,3,1,1,-1,0,0,46.1538,47.7012,80,74.66670000000001,60.2202,1,10
90,0.297436,70.7692,60.1966,120.46,10.7304,15.32,16.9,100,4,5.8,3,1,1,-1,0,0,47.6923,47.4234,90,74.66670000000001,60.2202,1,10
100,0.297436,70.7692,60.1966,99.8005,9.696059999999999,16.8,17,100,4,5.8,3,1,1,-1,0,0,47.6923,47.4234,100,74.66670000000001,60.2202,1,10
