nb calls to err function, mse, train  acc, train score, pop score var, pop score stddev, pop score mean, pop score median, pop size, nb inputs, nb hid units, nb outputs, nb hid layers, is pop diverse, mutation scheme, ensemble acc, ensemble score, val acc, val score, gens, test acc, test score, mutation scheme, nb replicates
10,0.294747,70.5253,58.9928,128.527,11.2323,3.467,0,100,9,6.2,2,1,1,-1,0,0,66.7273,52.5485,10,92.48180000000001,91.82559999999999,4294970000,10
20,0.170707,82.9293,74.4828,248.168,15.6262,7.037,0,100,9,6.6,2,1,1,-1,0,0,78,67.12949999999999,20,92.48180000000001,91.82559999999999,4294970000,10
30,0.163838,83.61620000000001,77.9426,325.562,17.927,10.428,0,100,9,7.7,2,1,1,-1,0,0,77.0909,69.0791,30,92.48180000000001,91.82559999999999,4294970000,10
40,0.136768,86.3232,83.0132,384.952,19.5441,13.851,0,100,9,7.9,2,1,1,-1,0,0,79.8182,74.7719,40,92.48180000000001,91.82559999999999,4294970000,10
50,0.146667,85.33329999999999,84.35980000000001,416.75,20.3451,17.208,4.4,100,9,8.4,2,1,1,-1,0,0,77.8182,75.2972,50,92.48180000000001,91.82559999999999,4294970000,10
60,0.145455,85.4545,84.4085,411.572,20.2162,20.375,26,100,9,8.199999999999999,2,1,1,-1,0,0,78,75.3184,60,92.48180000000001,91.82559999999999,4294970000,10
70,0.105657,89.43429999999999,88.5012,424.566,20.5159,24.207,26,100,9,8.199999999999999,2,1,1,-1,0,0,80.7273,77.97669999999999,70,92.48180000000001,91.82559999999999,4294970000,10
80,0.103434,89.6566,88.7029,380.937,19.4077,27.571,26,100,9,7.8,2,1,1,-1,0,0,81.63639999999999,79.0158,80,92.48180000000001,91.82559999999999,4294970000,10
90,0.0925253,90.7475,89.1267,322.683,17.8111,31.103,26.2,100,9,7.5,2,1,1,-1,0,0,83.63639999999999,79.6737,90,92.48180000000001,91.82559999999999,4294970000,10
100,0.0753535,92.4646,91.40770000000001,229.644,14.97,34.411,29.9,100,9,8,2,1,1,-1,0,0,84.5455,81.4379,100,92.48180000000001,91.82559999999999,4294970000,10
