nb calls to err function, mse, train  acc, train score, pop score var, pop score stddev, pop score mean, pop score median, pop size, nb inputs, nb hid units, nb outputs, nb hid layers, is pop diverse, mutation scheme, ensemble acc, ensemble score, val acc, val score, gens, test acc, test score, mutation scheme, nb replicates
10,0.315942,68.4058,50.4308,112.878,10.551,3.308,0,100,9,6.2,2,1,1,-1,0,0,72.1739,53.5413,10,79.6429,77.6801,4294970000,10
20,0.267633,73.2367,62.8115,223.629,14.8668,6.835,0,100,9,7.5,2,1,1,-1,0,0,80,70.1788,20,79.6429,77.6801,4294970000,10
30,0.243478,75.65219999999999,64.59220000000001,293.053,17.0654,10.138,0,100,9,7.9,2,1,1,-1,0,0,83.4783,73.52419999999999,30,79.6429,77.6801,4294970000,10
40,0.218841,78.1159,69.4421,366.728,19.1045,13.911,0,100,9,7.5,2,1,1,-1,0,0,86.087,77.77509999999999,40,79.6429,77.6801,4294970000,10
50,0.243478,75.65219999999999,70.00369999999999,385.022,19.5837,17.103,9.75,100,9,8.6,2,1,1,-1,0,0,83.4783,78.3591,50,79.6429,77.6801,4294970000,10
60,0.233333,76.66670000000001,72.2645,385.347,19.6019,20.326,22,100,9,8.199999999999999,2,1,1,-1,0,0,86.95650000000001,84.62779999999999,60,79.6429,77.6801,4294970000,10
70,0.234783,76.5217,72.8981,369.14,19.1936,23.682,22,100,9,8.1,2,1,1,-1,0,0,86.95650000000001,84.8394,70,79.6429,77.6801,4294970000,10
80,0.201449,79.85509999999999,75.97020000000001,330.713,18.1639,27.036,22,100,9,7.9,2,1,1,-1,0,0,91.73909999999999,89.53060000000001,80,79.6429,77.6801,4294970000,10
90,0.201449,79.85509999999999,75.97020000000001,264.944,16.247,30.075,22.5,100,9,7.9,2,1,1,-1,0,0,91.73909999999999,89.53060000000001,90,79.6429,77.6801,4294970000,10
100,0.201449,79.85509999999999,75.97020000000001,176.18,13.2301,33.198,27.7,100,9,7.9,2,1,1,-1,0,0,91.73909999999999,89.53060000000001,100,79.6429,77.6801,4294970000,10
