nb calls to err function, mse, train  acc, train score, pop score var, pop score stddev, pop score mean, pop score median, pop size, nb inputs, nb hid units, nb outputs, nb hid layers, is pop diverse, mutation scheme, ensemble acc, ensemble score, val acc, val score, gens, test acc, test score, mutation scheme, nb replicates
10,1.01026,48.2051,38.0685,45.2257,6.31326,1.829,0,100,4,7.3,3,1,1,-1,0,0,48.4615,37.5783,10,68.66670000000001,57.3934,4294970000,10
20,0.728205,55.8974,46.9098,76.5438,8.527200000000001,3.657,0,100,4,8,3,1,1,-1,0,0,53.8462,44.4292,20,68.66670000000001,57.3934,4294970000,10
30,0.590598,57.8632,48.8009,96.9618,9.622389999999999,5.385,0,100,4,7.4,3,1,1,-1,0,0,54.6154,45.2789,30,68.66670000000001,57.3934,4294970000,10
40,0.458974,63.8462,54.1454,121.706,10.829,7.268,0,100,4,7.5,3,1,1,-1,0,0,60,50.238,40,68.66670000000001,57.3934,4294970000,10
50,0.336752,67.60680000000001,57.8228,129.414,11.224,8.946999999999999,0.85,100,4,7.3,3,1,1,-1,0,0,65.38460000000001,55.9802,50,68.66670000000001,57.3934,4294970000,10
60,0.323932,67.86320000000001,58.1975,136.778,11.5588,10.685,15,100,4,7.2,3,1,1,-1,0,0,64.61539999999999,55.6661,60,68.66670000000001,57.3934,4294970000,10
70,0.323932,67.86320000000001,58.1975,140.49,11.7462,12.278,15.2,100,4,6.7,3,1,1,-1,0,0,63.8462,55.1442,70,68.66670000000001,57.3934,4294970000,10
80,0.323932,67.86320000000001,58.1975,136.48,11.5681,13.548,15.6,100,4,6.7,3,1,1,-1,0,0,63.8462,55.1442,80,68.66670000000001,57.3934,4294970000,10
90,0.320513,68.2051,58.2769,127.874,11.1893,15.138,16.65,100,4,7.4,3,1,1,-1,0,0,66.1538,56.412,90,68.66670000000001,57.3934,4294970000,10
100,0.320513,68.2051,58.2769,115.629,10.6351,16.779,16.8,100,4,7.4,3,1,1,-1,0,0,66.1538,56.412,100,68.66670000000001,57.3934,4294970000,10
