nb calls to err function, mse, train  acc, train score, pop score var, pop score stddev, pop score mean, pop score median, pop size, nb inputs, nb hid units, nb outputs, nb hid layers, is pop diverse, mutation scheme, ensemble acc, ensemble score, val acc, val score, gens, test acc, test score, mutation scheme, nb replicates
10,0.582963,48.5926,36.2498,40.4154,6.27098,1.922,0,100,13,5.5,3,1,1,-1,0,0,47.3333,36.342,10,57.2222,48.7054,4294970000,10
20,0.482963,55.4815,46.0831,73.61060000000001,8.55123,3.862,0,100,13,5.3,3,1,1,-1,0,0,52,44.2906,20,57.2222,48.7054,4294970000,10
30,0.482963,55.4815,46.0831,92.5925,9.59381,5.676,0,100,13,5.3,3,1,1,-1,0,0,52,44.2906,30,57.2222,48.7054,4294970000,10
40,0.497778,56.6667,47.4508,107.054,10.3216,7.526,0,100,13,5.9,3,1,1,-1,0,0,53.3333,46.0771,40,57.2222,48.7054,4294970000,10
50,0.441481,59.8519,50.4308,124.148,11.1164,9.465,1.95,100,13,6.8,3,1,1,-1,0,0,56.6667,49.4215,50,57.2222,48.7054,4294970000,10
60,0.408889,61.3333,52.8789,127.653,11.2677,11.213,15.05,100,13,6.4,3,1,1,-1,0,0,57.3333,51.0009,60,57.2222,48.7054,4294970000,10
70,0.408889,61.3333,52.8789,121.171,10.9724,12.844,15.45,100,13,6.4,3,1,1,-1,0,0,57.3333,51.0009,70,57.2222,48.7054,4294970000,10
80,0.408889,61.3333,52.8789,115.062,10.6748,14.543,16.45,100,13,6.4,3,1,1,-1,0,0,57.3333,51.0009,80,57.2222,48.7054,4294970000,10
90,0.408889,61.3333,52.8789,97.5682,9.811719999999999,16.394,16.9,100,13,6.4,3,1,1,-1,0,0,57.3333,51.0009,90,57.2222,48.7054,4294970000,10
100,0.408889,61.3333,52.8789,75.81180000000001,8.57878,18.262,17,100,13,6.4,3,1,1,-1,0,0,57.3333,51.0009,100,57.2222,48.7054,4294970000,10
